AgeGroup,RiskTolerance,InvestmentGoal,IncomeLevel,RecommendedPortfolio
Senior,Medium,Education,High,Balanced
Young,Medium,Education,High,Equity
Senior,High,Education,Low,Equity
Senior,Medium,Education,Low,FixedIncome
Young,Low,Wealth Growth,Low,Equity
Young,Low,Education,Medium,FixedIncome
Senior,Low,Retirement,Low,FixedIncome
Middle-aged,High,Retirement,High,Balanced
Senior,Medium,Education,Low,Balanced
Senior,Low,Education,High,Balanced
Senior,High,Retirement,Medium,FixedIncome
Senior,Medium,Retirement,High,Balanced
Young,High,Wealth Growth,High,Equity
Senior,Low,Retirement,Low,Equity
Middle-aged,Low,Retirement,Low,FixedIncome
Young,Low,Education,High,FixedIncome
Middle-aged,High,Retirement,Low,Balanced
Middle-aged,High,Wealth Growth,Medium,FixedIncome
Middle-aged,Low,Retirement,Medium,FixedIncome
Middle-aged,High,Education,Low,Equity
Young,Low,Education,Medium,Equity
Young,Low,Retirement,Low,Balanced
Middle-aged,Medium,Education,High,FixedIncome
Middle-aged,High,Wealth Growth,High,FixedIncome
Young,Low,Wealth Growth,Medium,Equity
Young,Low,Retirement,Low,FixedIncome
Young,High,Retirement,Low,Equity
Senior,Medium,Retirement,Medium,Balanced
Senior,Medium,Education,High,Equity
Senior,Low,Wealth Growth,Medium,FixedIncome
Middle-aged,High,Wealth Growth,High,Balanced
Senior,Medium,Education,Low,Equity
Middle-aged,High,Wealth Growth,High,Equity
Middle-aged,High,Retirement,Medium,Balanced
Senior,Low,Retirement,Low,Balanced
Middle-aged,Medium,Retirement,Medium,Equity
Senior,Low,Wealth Growth,Medium,FixedIncome
Senior,Medium,Retirement,High,Equity
Young,Medium,Education,Medium,Balanced
Senior,Medium,Education,High,Equity
Young,Medium,Wealth Growth,Low,Balanced
Senior,Medium,Education,High,Balanced
Senior,High,Education,Low,FixedIncome
Young,Low,Wealth Growth,High,Balanced
Young,High,Retirement,Medium,Balanced
Senior,Medium,Retirement,High,FixedIncome
Middle-aged,Low,Retirement,High,Balanced
Young,Medium,Wealth Growth,Low,FixedIncome
Middle-aged,Low,Education,Medium,FixedIncome
Middle-aged,High,Retirement,High,Balanced
Middle-aged,Low,Retirement,Medium,Balanced
Young,Low,Wealth Growth,High,Equity
Middle-aged,Low,Retirement,High,FixedIncome
Young,Low,Wealth Growth,Medium,Equity
Middle-aged,Low,Education,High,Balanced
Senior,Medium,Wealth Growth,Medium,Equity
Senior,Low,Wealth Growth,High,FixedIncome
Young,Low,Wealth Growth,Low,Equity
Senior,High,Wealth Growth,Medium,FixedIncome
Senior,Low,Education,High,Balanced
Middle-aged,High,Education,High,Balanced
Young,Medium,Retirement,Low,FixedIncome
Middle-aged,Low,Education,Medium,Balanced
Middle-aged,High,Education,High,Balanced
Middle-aged,High,Retirement,Low,Balanced
Middle-aged,Medium,Education,High,Balanced
Middle-aged,Low,Wealth Growth,Medium,FixedIncome
Middle-aged,Low,Wealth Growth,High,Equity
Middle-aged,High,Retirement,High,Equity
Young,Low,Retirement,High,Balanced
Senior,High,Retirement,High,Equity
Middle-aged,Low,Wealth Growth,Low,Equity
Middle-aged,High,Education,Low,Balanced
Middle-aged,Low,Wealth Growth,Medium,Balanced
Middle-aged,Medium,Retirement,Low,Equity
Middle-aged,Low,Education,Low,FixedIncome
Middle-aged,Low,Education,Medium,Balanced
Senior,Medium,Wealth Growth,Low,FixedIncome
Senior,Low,Retirement,Low,Equity
Middle-aged,Medium,Wealth Growth,Medium,Balanced
